v8-version,5,1,281,95,0
code-creation,Stub,3,0x13b774f18f80,798,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x13b774f192a0,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x13b774f19500,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x13b774f19760,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x13b774f199c0,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x13b774f19c20,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x13b774f19e80,579,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x13b774f1a0e0,539,"FastNewContextStub"
code-creation,Stub,15,0x13b774f1a300,320,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1a440,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f1a4c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f1a540,204,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1a620,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f1a6a0,447,"FastNewContextStub"
code-creation,Stub,15,0x13b774f1a860,204,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f1a940,204,"BinaryOpICStub"
code-creation,Stub,17,0x13b774f1aa20,216,"ToBooleanICStub"
code-creation,Handler,4,0x13b774f1ab00,112,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f1ab80,927,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f1af20,419,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1b0e0,120,"An IC handler from the snapshot"
code-creation,Stub,16,0x13b774f1b160,194,"CompareICStub"
code-creation,Handler,4,0x13b774f1b240,348,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f1b3a0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f1b420,212,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f1b500,224,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1b5e0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f1b660,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Handler,4,0x13b774f1b6e0,551,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f1b920,2380,"RecordWriteStub"
code-creation,Stub,15,0x13b774f1c280,204,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f1c360,1529,"RecordWriteStub"
code-creation,Stub,3,0x13b774f1c960,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,0x13b774f1cbc0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f1cc40,240,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1cd40,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f1cdc0,734,"ToLengthStub"
code-creation,Stub,3,0x13b774f1d0a0,145,"NonNumberToNumberStub"
code-creation,Stub,3,0x13b774f1d140,1503,"RecordWriteStub"
code-creation,Stub,15,0x13b774f1d720,276,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1d840,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f1d8c0,180,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f1d980,151,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f1da20,503,"InternalArrayNoArgumentConstructorStub"
code-creation,CallIC,12,0x13b774f1dc20,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x13b774f1dca0,464,"A call IC from the snapshot"
code-creation,Stub,15,0x13b774f1de80,415,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1e020,116,"An IC handler from the snapshot"
